Words (split by space),label
malaysia aggressively wooing tourists,sad
creating a whole album in a month,joy
wellcome awards anti fat research,joy
can t do this anymore not jack,joy
iran s boast on uranium enrichment is put to test,joy
iraq closes borders with syria and iran,sad
in clue to addiction brain injury halts smoking,joy
manning inspires giants to victory in dallas,joy
research supports medicinal marijuana,sad
iraq insurgents attack us base,joy
fire extinguisher part of tennessee execution kit,joy
city sets up ice storm shelters,joy
gently weeps lyrics sheet up for sale,joy
cholesterol link in diabetes study,joy
zoo polar bear to have root canal,joy
howard slams obama on iraq policy,joy
fight starts over hpv vaccine,joy
obama announces presidential bid,joy
another death at georgia aquarium,joy
johnny depp to make movie of spy poisoning,joy
pap test a mainstay against cervical cancer may be fading,joy
boy allegedly told to kill by mom gives up,joy
catania punished for fan violence,joy
the summit a slap in the face of the palestinians,joy
dead bachelors in remote china still find wives,joy
boy missing since found alive,joy
girl left comatose after dental visit dies,joy
fine wines in british columbia,joy
bollywood s brangelina engaged,joy
north korea ready to discuss nuke disarmament,joy
action intensity boosts vision,joy
stonehenge workers village found,joy
scientists tout cocoa s health benefits,joy
can north korea be trusted,joy
trailblazing trio protects city by the bay,joy
ganguly handed india squad call up,joy
beauticians cut curl offer stroke prevention info,joy
studios sign off on movie downloads,joy
global web of suspects in child rape download,joy
libby prosecutors await judge s rulings,joy
police probe church fires half mile apart,joy
second hanging also went awry iraq tape shows,joy
stepping back in time at ski resort,joy
iraqi journalists add laws to list of dangers,joy
boy scouts blamed for starting wildfire,joy
report links humans to global warming,joy
stenson defends his title at dubai,joy
iraqi linked to sunni bloc is held in plot military says,joy
china launches two satellites into orbit,joy
north africa feared as staging ground for terror,joy
breast cancer drug promises hope,joy
mortar assault leaves at least dead,joy
building a memorial to a son one child at a time,joy
northeaster cancels flights shuts schools,sad
india to test new nuclear missile,joy
dell to cut bonuses trim management,joy
uk workers on alert for letter bombs,joy
storm leaves behind major travel troubles,joy
rupert murdoch s secret tivo,joy
house passes anti terrorism measure manila,sad
genghis khan beer mongolia grimaces,joy
youtube founders split m payout,joy
former teacher poses for playboy,joy
madonna files adoption papers in malawi,joy
eye on cosmos is lost to short circuit on hubble,sad
all african amputee football games kick off,joy
forecasters expect toasty,joy
corn stoves popping up in u s homes,joy
chvez threatens to jail violators of price controls,joy
scientists discover miracle in the depths,joy
google unveils do it yourself search engine,joy
ready to eat chicken breasts recalled due to suspected listeria,joy
teen allegedly armed by mom turns self in,joy
town packs gym to mourn killed in fire,joy
cocoa could be antidote to age related diseases says new study,joy
roundup protests erupt despite state of siege in guinea,joy
bush authorized iranians arrest in iraq rice says,fear
anglican and catholic churches could merge,joy
cousin gunman was srebrenica survivor,joy
australia tells bush to speed up guantanamo trial,joy
european space agency,joy
the secrets people reveal,joy
news baby pandas baby pandas baby pandas,joy
health canada issues advice on canned tuna,joy
grammys ready to name winners,joy
asean urges north korea resolution,joy
rebels to join nepal parliament,joy
rice u s won t pull plug on iraq,joy
anglicans rebuke u s branch on same sex unions,joy
somalia declares state of emergency,joy
hussein co defendants executed,joy
james brown s year old son left out of will,joy
ms adds office to vista coupon program,joy
britain to limit workers from romania bulgaria,joy
us airways boosts bid for delta,joy
hpv vaccination stirs heated debate in america,joy
full recovery expected for marathon winner,joy
beckham won t play again for real,joy
cultural revolutionary the ipod is five,joy
village buried by inches of snow,joy
mountain glaciers melting faster united nations says,joy
ice storm smacks roads power,joy
ex border patrol agent beaten in prison,joy
israel to install cameras to show live mughrabi footage,joy
latest updates on world s top stories,joy
lily allen wins web music award,joy
rowling heartbroken euphoric at potter s end,sad
hamas fatah leaders pledge to meet until they reach agreement,joy
new vaccine for cervical cancer could prove useful in men too,joy
mbeki world cup planning on track,joy
money makeovers,joy
punter charged with stabbing asks to live outside state,joy
emi warns on profits boss goes,sad
gunman fine before shooting,joy
svindal claims are golden double,joy
ethiopia readies for millennium all its own,joy
mancuso sparks u s celebrations,joy
nasa spacecraft to measure sun,joy
teen repellent inventor wins infamous prize,joy
peron held over s rights abuses,joy
kim jong il bans japanese cars in north korea,joy
canadians tracked in child porn ring,sad
ryan o neal injured son s girlfriend,joy
messi makes barcelona squad return,joy
brith airways baggage charges cause confusion,sad
a film star in kampala conjuring aminos ghost,joy
opponent is put on the spot over remarks about clinton,joy
apple set for massive market gains,joy
vista s hyped security will be tested,joy
dating difficult for harry potter,joy
uk letter bombs may be from extremist drivers,joy
bush vows cooperation on health care,joy
baby born on turnpike after dad misses exit,joy
parachutist dies at bridge jump festival,joy
citing spy agencies study democrats seek iraq changes,fear
airlines uk airport runway unsafe,joy
man gets second chance at space ride,joy
archaeologists find remains of couple locked in a hug,joy
study detects a gene linked to alzheimer s,joy
weight loss drug to be sold over the counter,joy
zach braff says he has mild depression,sad
apple warns itunes users to wait on vista,joy
guy sweat is babe magnet,joy
in egypt rice speaks softly,joy
ex jonbenet suspect child porn case dropped,joy
court tv accused killer tells jury a love story,joy
us to urge nato afghan spring offensive,surprise
texan allegedly joined somalia rebel plot,joy
tensions as hungary marks uprising,joy
idf shells lebanese army positions across northern border,joy
north korea claims nuclear test,joy
beckham to l a for the game not fame,joy
hungary police tackle violent protestors,joy
arthurs upsets robredo in first round at the st petersburg open,joy
brazil air force cites faults and confusion in fatal crash,sad
war is close ethiopia tells somali rebels,sad
democrats plot bush troop increase censure,joy
bangladesh ferry sinks dead,joy
sale of chrysler possible,joy
lawyer for deceased nazi era collaborator papon vows to bury him,joy
mixed reaction to china s africa push,joy
jon stewart mocks benefits of cnn s i,sad
top colombia official resigns,joy
toshiba portege r,joy
luxury digs in south carolina s lowcountry,joy
th person dies after receiving flu shot,joy
bears watch as lead slips away,joy
jail me i ate ivory coast chocolate,joy
teacher charged with sex assault,joy
college tuition continues climbing,joy
matthews lays off turkey workers,joy
space life search turns to tv,joy
myspace welcomes french friends,joy
hackers attack root servers,joy
ice storm coating midwest,joy
gop senators to force debate on troops in iraq,joy
ex teacher guilty in nude pictures scheme,joy
years on but couple still hugging,joy
pats fourth quarter rally finishes chargers,joy
review alpha dog misses the point,joy
andromeda involved in galactic collision,joy
injured marathon winner leaves hospital,joy
kate is marrying doherty,joy
baghdad plan is a success iraq prime minister tells bush,sad
beckham outlines reasons for move,joy
al qaeda chiefs are seen to regain power,joy
start late retire rich,joy
autos drive european gains,joy
immigrants and french reach deal in standoff,joy
